;Estado;max_cases;diamax;datamax
0;AL;18078.692127280927;135;2020-07-21
1;AM;1111.971932514105;97;2020-06-20
2;AP;221.4568134762808;53;2020-05-12
3;BA;2783.271355309116;242;2020-11-03
4;Brazil;191379.67281180434;216;2020-09-29
5;CE;2623.1359784305096;299;2021-01-10
6;ES;1493.0215078963192;75;2020-05-20
7;GO;463.4971763827198;155;2020-08-15
8;MA;19357.51660474995;194;2020-10-01
9;PA;8213.661584934976;127;2020-07-24
10;PB;4067.095709183719;114;2020-07-11
11;PE;16318.29361678171;137;2020-07-27
12;PI;1172.4487703227278;135;2020-08-02
13;RJ;3595.3989550610713;130;2020-07-13
14;RN;469.6821025653189;365;2021-03-13
15;RO;10854.833324250707;91;2020-06-19
16;RR;815.8664152020356;134;2020-08-03
17;SP;15046.707473727642;151;2020-07-26
